frame_id,LEFT_EYE_WIDTH,RIGHT_EYE_WIDTH,LEFT_EYE_HEIGHT,RIGHT_EYE_HEIGHT,LEFT_PUPIL_DIAMETER,RIGHT_PUPIL_DIAMETER,participant,difficulty_level,difficulty_easy,difficulty_hard,difficulty_medium,ROLL,PITCH,YAW,LEFT_PUPIL_POS_X,LEFT_PUPIL_POS_Y,RIGHT_PUPIL_POS_X,RIGHT_PUPIL_POS_Y,LEFT_EYE_CENTER_X,LEFT_EYE_CENTER_Y,RIGHT_EYE_CENTER_X,RIGHT_EYE_CENTER_Y
1631693836645,30.12782821737348,33.52408667258713,11.136283952509984,11.225888701155782,4.031328678131104,0.0001999999949475,participant_18,easy,1,0,0,3.1002610002219626,-2.4440579756350536,6.732327042589585,54.0,88.0,129.0,95.0,54.37630443,90.15455912,129.11198374,96.1627749
1631693836729,30.12782821737348,33.52408667258713,11.136283952509984,11.225888701155782,2.3572208881378174,13.60167121887207,participant_18,easy,1,0,0,3.0241608476810597,-2.589347475586714,6.763329751205195,54.0,89.0,129.0,95.0,54.37630443,90.15455912,129.11198374,96.1627749
1631693836816,30.60782381625904,33.764920905778126,11.115722159629511,11.47666037151066,13.60167121887207,8.485481262207031,participant_18,easy,1,0,0,3.335989117147392,-2.4312872968081574,7.069078310008105,53.0,92.0,128.0,98.0,52.91215506,93.07866859,128.15725613,98.98170464
1631693836894,29.69029978699473,33.764920905778126,11.115722159629511,11.47666037151066,0.0001999999949475,6.403324127197266,participant_18,easy,1,0,0,3.3090293940383333,-2.1412724428087144,6.79977454477017,52.0,92.0,128.0,98.0,52.91215506,93.07866859,127.8189727,98.87606314
1631693836960,30.32662187595633,33.56280015236189,11.108880677255002,11.182016545350052,4.000199794769287,7.918181896209717,participant_18,easy,1,0,0,3.0843654103622384,-2.269377042290835,7.201679373547436,52.0,89.0,128.0,95.0,53.17268194,91.37241727,127.89173052,96.88792742
1631693837021,30.43732796787117,32.69627617271635,11.168173364047108,11.182016545350052,3.6057512760162354,8.062458038330078,participant_18,easy,1,0,0,3.2519552895472827,-2.4031285329570946,6.965008476673241,53.0,90.0,129.0,95.0,53.38260112,91.35658814,128.81986417,97.26792995
1631693837119,30.662055949013848,33.86208478036497,11.581368711215871,11.740794697190722,7.211302280426025,8.485481262207031,participant_18,easy,1,0,0,3.2840943108258216,-2.910918991272752,7.390396501188043,51.0,88.0,127.0,94.0,51.52330428,90.10148044,127.27872871,96.06179021
1631693837119,30.662055949013848,33.86208478036497,11.581368711215871,11.740794697190722,7.211302280426025,8.485481262207031,participant_18,easy,1,0,0,3.284094012282651,-2.9109223068521706,7.390396571502749,51.0,88.0,127.0,94.0,51.52330428,90.10148044,127.27872871,96.06179021
1631693837184,30.826341912023054,34.04408799847624,11.346297060880715,11.745561377137165,5.270664691925049,7.810449600219727,participant_18,easy,1,0,0,3.210432892758746,-1.9741350002971445,7.314034753571893,53.0,90.0,128.0,96.0,52.90656738,91.99410367,128.30275235,98.00302
1631693837261,30.826341912023054,32.95362047024173,11.346297060880715,11.778863745119452,9.556471824645996,8.944472312927246,participant_18,easy,1,0,0,3.35172637373617,-1.9990480429248372,7.084974572071162,53.0,90.0,128.0,96.0,53.62255211,91.86173988,128.30275235,98.00302
1631693837399,30.41366546683092,33.197969989105346,10.897519602403918,11.212989203686448,7.211302280426025,10.816854476928713,participant_18,easy,1,0,0,3.2612954852047835,-2.5053557780329596,6.560791051533683,51.0,87.0,126.0,93.0,52.73415044,89.07432652,127.01030155,94.72891833
1631693837399,30.41366546683092,33.197969989105346,10.897519602403918,11.212989203686448,7.211302280426025,10.816854476928713,participant_18,easy,1,0,0,3.2612951467492053,-2.505359817564423,6.560791123123833,51.0,87.0,126.0,93.0,52.73415044,89.07432652,127.01030155,94.72891833
1631693837487,30.751019843733943,33.80617993527268,11.644590320416684,11.893094307848514,8.485481262207031,9.89969539642334,participant_18,easy,1,0,0,3.1927072976714044,-2.427645865086192,7.483579462362865,51.0,90.0,126.0,96.0,50.77924824,91.14793124,126.48799083,97.07573184
1631693837593,30.79016983761356,33.76902021972275,10.779775313365462,11.128375376853,8.60252571105957,10.630346298217772,participant_18,easy,1,0,0,2.9857999434146336,-2.4876267675595822,6.9341101568935315,53.0,91.0,128.0,97.0,52.50390051,92.83219258,128.17158226,98.3886468
1631693837666,30.73546606971649,33.29150673133336,10.86422200186098,11.140633443505068,6.3247551918029785,11.313908576965332,participant_18,easy,1,0,0,3.299203337681064,-2.017168874630951,6.167530950670677,52.0,90.0,128.0,96.0,52.9662599,91.00255962,128.04135866,96.88132817
1631693837733,30.54306236280537,33.57566274483541,10.83736574669456,11.09270047586324,1.414413571357727,6.403324127197266,participant_18,easy,1,0,0,2.8974637956559093,-2.697246832150537,6.926707245181971,51.0,89.0,127.0,94.0,51.1191652,90.19242042,126.60807813,95.78750006
1631693837733,30.54306236280537,33.57566274483541,10.83736574669456,11.09270047586324,1.414413571357727,6.403324127197266,participant_18,easy,1,0,0,2.8974635041026318,-2.6972501224362184,6.926707267414916,51.0,89.0,127.0,94.0,51.1191652,90.19242042,126.60807813,95.78750006
1631693837854,30.77042439406432,33.5241812252516,11.52813001681261,11.762233203703545,14.422405242919922,8.485481262207031,participant_18,easy,1,0,0,3.3372228479178148,-2.5413824401366107,6.65493154239544,52.0,88.0,127.0,95.0,52.77346932,90.37722042,127.65873002,96.2127599
1631693837935,30.77042439406432,33.5241812252516,11.52813001681261,10.71352613244106,11.401954650878906,6.708403587341309,participant_18,easy,1,0,0,3.250169242604045,-2.5115796684054708,5.831586792622737,52.0,89.0,128.0,95.0,52.79991688,90.623153,127.65873002,96.2127599
1631693838035,30.3892531700526,32.636757116906665,5.549992403066426,5.895932408038789,8.062458038330078,6.708403587341309,participant_18,easy,1,0,0,3.14402744735051,-1.1613851049036912,5.246722836791777,50.0,90.0,126.0,97.0,51.00737164,91.41849443,127.27340033,97.28875789
1631693838035,30.3892531700526,32.636757116906665,5.549992403066426,5.895932408038789,8.062458038330078,6.708403587341309,participant_18,easy,1,0,0,3.144028154921301,-1.1613748942528157,5.246723052284376,50.0,90.0,126.0,97.0,51.00737164,91.41849443,127.27340033,97.28875789
1631693838133,30.05177056419234,31.906707825503872,8.532080565259093,8.721951876284038,15.231746673583984,5.831151485443115,participant_18,easy,1,0,0,2.2169074598065492,1.1925149560225392,3.0534290949585947,48.0,82.0,123.0,88.0,49.29335951,83.8118751,125.24086937,88.64975308
1631693838215,30.132904814814538,31.8437284790416,9.586073041403324,9.9006625327238,12.083246231079102,6.3247551918029785,participant_18,easy,1,0,0,1.656555542934683,0.8995563527501501,3.2415408184607775,46.0,80.0,122.0,85.0,47.05312308,81.40362065,122.73419954,85.53737716
1631693838278,30.287297444683645,31.747210806970543,9.581921714934651,9.935647468719251,3.000200033187866,6.3247551918029785,participant_18,easy,1,0,0,1.182608812762652,0.913815512633165,1.7449872158289907,47.0,81.0,124.0,85.0,48.91945451,82.59275657,123.87593339,85.74410511
1631693838336,30.428904724522013,31.74632098223809,9.74786097897595,10.186851624042902,4.60997200012207,6.708403587341309,participant_18,easy,1,0,0,0.8853372842845317,0.29587627848962983,1.7349378113151002,47.0,84.0,123.0,87.0,49.12259351,85.25851873,123.56501499,87.68545568
1631693838395,30.202790154621667,31.74632098223809,9.741627885088748,10.186851624042902,5.831151485443115,5.270662307739258,participant_18,easy,1,0,0,0.7186545679587653,-0.19377392072779379,1.5215750050204242,47.0,84.0,123.0,86.0,49.12259351,85.25851873,123.40387841,87.13582339
1631693838459,30.70157302470035,31.669633358624186,9.69703457049036,10.186851624042902,6.082962512969971,6.530131340026856,participant_18,easy,1,0,0,0.2822832087137215,-0.962308730232359,0.7509378840600516,48.0,84.0,124.0,86.0,49.63779263,85.27272607,124.34874133,86.37193258
1631693838571,31.090032434243756,31.9008492202979,10.32556225258304,11.389889960986636,9.487032890319824,8.285914421081543,participant_18,easy,1,0,0,-0.16923594930682384,-2.216013755304662,0.49909945845184406,48.0,82.0,124.0,84.0,49.70586188,84.62316172,123.77009923,84.96772969
1631693838635,31.090032434243756,32.389925757479446,10.32556225258304,10.802374227285329,7.810449600219727,7.615972995758057,participant_18,easy,1,0,0,-0.21965503665768438,-1.698409435619783,0.6252944662790568,48.0,82.0,124.0,84.0,48.60847587,83.52379014,123.77009923,84.96772969
1631693838711,31.090032434243756,32.389925757479446,10.32556225258304,10.802374227285329,7.810449600219727,7.615972995758057,participant_18,easy,1,0,0,-0.21965497537775036,-1.6984050409504292,0.6252947733270253,48.0,82.0,124.0,84.0,48.60847587,83.52379014,123.77009923,84.96772969
